GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1600000US2053775,2053775,"Overland Park city, Kansas",74396,1744,48033,2184,26363,1970
1600000US2071000,2071000,"Topeka city, Kansas",52180,1628,28784,1698,23396,1854
1600000US2079000,2079000,"Wichita city, Kansas",151253,2683,90421,3146,60832,2963
1600000US2146027,2146027,"Lexington-Fayette urban county, Kentucky",122920,2069,66834,2206,56086,2448
1600000US2148006,2148006,"Louisville/Jefferson County metro government (balance), Kentucky",245530,3260,148215,3482,97315,3301
1600000US2205000,2205000,"Baton Rouge city, Louisiana",88336,3332,45155,2816,43181,2450
1600000US2239475,2239475,"Kenner city, Louisiana",25283,1536,15399,1384,9884,1335
1600000US2240735,2240735,"Lafayette city, Louisiana",48363,1913,27146,2076,21217,2083
1600000US2241155,2241155,"Lake Charles city, Louisiana",30188,1423,16465,1544,13723,1433
1600000US2250115,2250115,"Metairie CDP, Louisiana",56718,2175,33154,1738,23564,2156
1600000US2255000,2255000,"New Orleans city, Louisiana",151735,2526,71657,2494,80078,2747
1600000US2270000,2270000,"Shreveport city, Louisiana",77988,2046,42274,1976,35714,2226
1600000US2360545,2360545,"Portland city, Maine",30920,1533,13726,1255,17194,1409
1600000US2404000,2404000,"Baltimore city, Maryland",244397,3814,113191,4100,131206,4178
1600000US2419125,2419125,"Columbia CDP, Maryland",40244,1858,26522,1387,13722,1722
1600000US2426000,2426000,"Ellicott City CDP, Maryland",24997,1198,19447,1107,5550,1008
1600000US2430325,2430325,"Frederick city, Maryland",26526,1576,14624,1242,11902,1590
1600000US2432025,2432025,"Germantown CDP, Maryland",31262,1954,21142,1637,10120,1674
1600000US2432650,2432650,"Glen Burnie CDP, Maryland",27118,1813,15890,1422,11228,1397
1600000US2472450,2472450,"Silver Spring CDP, Maryland",29884,1680,11502,874,18382,1716
1600000US2481175,2481175,"Waldorf CDP, Maryland",25351,1468,17702,1394,7649,1180
1600000US2507000,2507000,"Boston city, Massachusetts",247254,3859,82093,3044,165161,4226
1600000US2509000,2509000,"Brockton city, Massachusetts",32592,1682,19857,1688,12735,1490
1600000US2511000,2511000,"Cambridge city, Massachusetts",43506,1992,16771,1347,26735,1610
1600000US2523000,2523000,"Fall River city, Massachusetts",39000,1521,12692,1192,26308,1606
1600000US2524960,2524960,"Framingham CDP, Massachusetts",28060,1651,14682,1463,13378,1585
1600000US2534550,2534550,"Lawrence city, Massachusetts",25489,1280,7122,1023,18367,1269
1600000US2537000,2537000,"Lowell city, Massachusetts",40270,1810,17105,1859,23165,1867
1600000US2537490,2537490,"Lynn city, Massachusetts",32266,1561,14035,1356,18231,1556
1600000US2545000,2545000,"New Bedford city, Massachusetts",39719,1677,17991,1495,21728,1478
1600000US2545560,2545560,"Newton city, Massachusetts",30224,1469,22262,1219,7962,1202
1600000US2555745,2555745,"Quincy city, Massachusetts",39587,2117,18724,1727,20863,2007
1600000US2562535,2562535,"Somerville city, Massachusetts",31516,1583,11237,1479,20279,1999
1600000US2567000,2567000,"Springfield city, Massachusetts",56742,1808,26973,1684,29769,1659
1600000US2582000,2582000,"Worcester city, Massachusetts",67017,2565,28022,1872,38995,2188
1600000US2603000,2603000,"Ann Arbor city, Michigan",46735,2116,20368,1364,26367,1815
1600000US2621000,2621000,"Dearborn city, Michigan",31605,1707,21667,1619,9938,1227
1600000US2622000,2622000,"Detroit city, Michigan",253073,4212,126235,4009,126838,4034
